name,speed_mps,alpha_deg,geometry,model,iterations,CL,CL_range,CD,CD_range,CMz,CMz_range,rms[P],rms[P]_range,rms[U],rms[U]_range,rms[V],rms[V]_range,rms[k],rms[k]_range,rms[w],rms[w]_range,LD_section,yplus_max,yplus_p95,force_stationary_1pct,mesh_accepted,superseded,current_final_RevB
B_inner_L2_U15_A4,15,4.0,RevB_inner_L2,SST,2071,0.6435639206429999,0.002656175200000055,0.024134961020599997,2.6444850000001408e-05,0.0508054801634,0.0003895931999999963,-7.11460736625,3.7955647069999996,-6.498186370814999,2.917346683,-6.76964690496,3.2579720979999998,-9.575213950185,0.21622852700000017,-3.8935886274450002,1.2246644400000002,26.665214834765905,0.9119338393211365,0.450844943523407,True,True,False,True
B_inner_L3_U15_A2,15,2.0,RevB_inner_L3,SST,1800,0.434215059365,0.0004891021999999801,0.0202640448839,3.318905999999747e-05,0.0506154360492,0.00013652656000000263,-7.528328056825001,3.2717768019999998,-7.164569729315,2.9997666979999993,-7.07540303188,3.260463178,-9.92977748494,0.07118606799999938,-3.5998043743599997,1.479393506,21.42785716537711,0.5280566215515137,0.2998460829257965,True,True,False,True
B_inner_L3_U15_A4,15,4.0,RevB_inner_L3,SST,2200,0.653725476457,0.0031291069000000116,0.0231930495776,4.7320830000002756e-05,0.05209933581870001,0.0004854237399999975,-7.176323018205,3.123625672,-6.75585747725,2.363386984,-6.764006864115,2.944981845,-9.40639101322,0.08591435900000022,-3.33952096219,1.1244590200000002,28.18626650496071,0.6073132157325745,0.28087639808654785,True,True,False,True
B_inner_L4_U15_A4,15,4.0,RevB_inner_L4,SST,2000,0.6221371060340001,0.0002744489999999544,0.0199066701494,1.1646139999998278e-05,0.04587623017465,5.2120959999998884e-05,-6.72696369047,3.5049498990000005,-6.3193510565999995,3.211917356,-6.3154307896,3.138360028,-10.5838841134,0.8697808900000012,-4.22692299512,1.7578397800000003,31.252695773067384,0.4562656879425049,0.18463726341724396,True,True,False,True
B_outer_L3_U15_A4_extended,15,4.0,RevB_outer_L3,SST,1363,0.5478983100339999,0.001015169199999999,0.0272832070217,4.207490999999855e-05,0.04071213226195001,0.00019444781999999883,-7.31143648507,3.7005464739999994,-6.849758531340001,3.2289719480000008,-6.884966412194999,3.3092900839999997,-9.119691664560001,1.5698986569999995,-3.5519582987350002,0.945073174,20.081888085891915,0.5909650921821594,0.28568121790885925,True,True,False,True
B_outer_L4_U15_A4,15,4.0,RevB_outer_L4,SST,1800,0.5261003100255001,0.0005625669000000055,0.0239952445862,3.0131409999998443e-05,0.0352134541998,0.00011325806000000299,-6.90602173625,2.555691166000001,-6.675984210905001,2.272093635,-6.508993345669999,2.616444297,-10.066575749740002,0.3212298140000005,-3.62637535777,1.2654716609999994,21.92519055746853,0.42032361030578613,0.18648076057434082,True,True,False,True
B_sealed_L3_U15_A4,15,4.0,RevB_outer_sealed_L3,SST,1800,0.640247136169,0.0029897056999999005,0.023192877843449998,5.7064959999998666e-05,0.04900457439915001,0.00043831236000000523,-6.18355858981,3.0098230040000002,-5.94181796889,2.7033597800000004,-5.778251783745,3.0157138969999995,-9.363410851154999,0.6273622460000006,-3.757204965225,1.3328873740000002,27.605333865448483,0.6058440804481506,0.2810283899307251,True,True,False,True
B_sealed_L4_U15_A4,15,4.0,RevB_outer_sealed_L4,SST,2000,0.6147173546735,0.00023799550000003222,0.01994784267575,3.088197999999778e-05,0.0441733391845,4.2808329999997896e-05,-6.234777956785,2.985101717,-5.818229814814999,2.8740950720000003,-5.87281164751,2.8921660410000003,-9.76526500597,1.6319786950000008,-3.904659404695,1.5231474290000002,30.81623234480356,0.4323577880859375,0.1820376068353653,True,True,False,True
B_thinTE_L3_U15_A4,15,4.0,RevB_inner_thinTE_L3,SST,1800,0.634516015034,0.0020018539000000724,0.02120505884655,1.767206999999868e-05,0.048157649220899997,0.0003124115999999996,-7.26663436609,3.394206101,-6.976873288955001,2.6930391989999993,-6.893479515829999,3.1897670419999997,-9.743652563505,0.11322431099999974,-4.029259280805,1.1256981340000003,29.922860371464328,0.6021068096160889,0.2798615097999573,True,True,False,True
B_topSealTri_L3_U15_A3,15,3.0,RevB_outer_topSeal_L3_tri,SST,1200,0.5249945324255,9.688790000006442e-05,0.0223203366127,2.663122000000004e-05,0.046240969700199995,6.414694999999637e-05,-6.3036847281299995,2.9177182859999995,-6.0325615499700005,2.8526361750000007,-5.968848137809999,2.9666028319999995,-9.35166117636,1.3673494819999998,-3.3958782054400003,0.7828726930000003,23.520905689512965,0.568130373954773,0.29206445813179016,True,True,False,True
B_topSealTri_L3_U15_A4,15,4.0,RevB_outer_topSeal_L3_tri,SST,1200,0.6345952561275,0.0014897433000000682,0.023776383352249998,2.2787159999999168e-05,0.046805542822900004,0.0001823544800000007,-7.122102722054999,3.0549491480000004,-6.681070476540001,2.8113859299999993,-6.73355299586,2.913834786,-9.61097912456,0.9885539659999996,-3.5636586093899996,1.1042547850000002,26.69015075698833,0.6049855947494507,0.28023064136505127,True,True,False,True
