Requested_yaw_deg,Requested_pitch_deg,Measured_yaw_deg,Measured_pitch_deg,Yaw_set_status,Pitch_set_status,Rebuild_ok,Interference_count
-90,-20,-90,-20,0,0,True,0
-90,0,-90,-6.36110936292703E-15,0,0,True,0
-90,22.5,-90,22.5,0,0,True,0
-90,45,-90,45,0,0,True,0
-45,-20,-45,-20,0,0,True,0
-45,0,-45,-3.18055468146352E-15,0,0,True,0
-45,22.5,-45,22.5,0,0,True,0
-45,45,-45,45,0,0,True,0
0,-20,0,-20,0,0,True,0
0,0,0,0,0,0,True,0
0,22.5,0,22.5,0,0,True,0
0,45,0,45,0,0,True,0
45,-20,45,-20,0,0,True,0
45,0,45,3.18055468146352E-15,0,0,True,0
45,22.5,45,22.5,0,0,True,0
45,45,45,45,0,0,True,0
90,-20,90,-20,0,0,True,0
90,0,90,0,0,0,True,0
90,22.5,90,22.5,0,0,True,0
90,45,90,45,0,0,True,0
